"CN","上甘岭区","4747","shangganlingqu"
"CN","汤旺河区","4748","tangwanghequ"
"CN","乌马河区","4749","wumahequ"
"CN","五营区","4751","wuyingqu"
"CN","西林区","4420","xilinqu"
"CN","新青区","4752","xinqingqu"
"CN","友好区","4754","youhaoqu"
"CT","伊春市","1863","yichunshi"
"PV","黑龙江省","1816","heilongjiangsheng"
"CN","鄂州市","1955","ezhoushi"
"CN","鄂城区","4755","echengqu"
"CN","华容区","4756","huarongqu"
"CN","梁子湖区","4757","liangzihuqu"
"CT","鄂州市","1954","ezhoushi"
"CN","巴东县","1998","badongxian"
"CN","恩施市","1994","enshishi"
"CN","鹤峰县","1999","hefengxian"
"CN","建始县","1996","jianshixian"
"CN","来凤县","1997","laifengxian"
"CN","利川市","1995","lichuanshi"
"CN","咸丰县","2001","xianfengxian"
"CN","宣恩县","2000","xuanenxian"
"CT","恩施土家族苗族自治州","1993","enshitujiazumiaozuzizhizhou"
"CN","红安县","1968","honganxian"
"CN","黄冈市","1965","huanggangshi"
"CN","黄州区","4758","huangzhouqu"
"CN","黄梅县","1972","huangmeixian"
"CN","罗田县","1969","luotianxian"
"CN","麻城市","1966","machengshi"
"CN","团风县","1974","tuanfengxian"
"CN","武穴市","1967","wuxueshi"
"CN","英山县","1973","yingshanxian"
"CN","蕲春县","1971","qichunxian"
"CN","浠水县","1970","xishuixian"
"CT","黄冈市","1964","huanggangshi"
"CN","大冶市","1913","dayeshi"
"CN","黄石市","1912","huangshishi"
"CN","黄石港区","4759","huangshigangqu"
"CN","铁山区","4421","tieshanqu"
"CN","西塞山区","4760","xisaishanqu"
"CN","下陆区","4761","xialuqu"
"CN","阳新县","1914","yangxinxian"
"CT","黄石市","1911","huangshishi"
"CN","荆门市","1950","jingmenshi"
"CN","东宝区","4762","dongbaoqu"
"CN","掇刀区","4763","duodaoqu"
"CN","京山县","1952","jingshanxian"
"CN","沙洋县","1953","shayangxian"
"CN","钟祥市","1951","zhongxiangshi"
"CT","荆门市","1949","jingmenshi"
"CN","公安县","1937","gonganxian"
"CN","洪湖市","1933","honghushi"
"CN","监利县","1936","jianlixian"
"CN","江陵县","1938","jianglingxian"
"CN","荆州市","1932","jingzhoushi"
"CN","荆州区","4764","jingzhouqu"
"CN","沙市区","4765","shashiqu"
"CN","石首市","1934","shishoushi"
"CN","松滋市","1935","songzishi"
"CT","荆州市","1931","jingzhoushi"
"CN","潜江市","1990","qianjiangshi"
"CT","潜江市","1989","qianjiangshi"
"CN","神农架林区","1992","shennongjialinqu"
"CN","神农架林区","4766","shennongjialinqu"
"CT","神农架林区","1991","shennongjialinqu"
"CN","丹江口市","1925","danjiangkoushi"
"CN","房县","1928","fangxian"
"CN","万全县","1621","wanquanxian"
"CN","蔚县","1619","yuxian"
"CN","宣化县","1609","xuanhuaxian"
"CN","阳原县","1612","yangyuanxian"
"CN","张北县","1611","zhangbeixian"
"CN","张家口市","1608","zhangjiakoushi"
"CN","桥东区","4645","qiaodongqu"
"CN","桥西区","4646","qiaoxiqu"
"CN","下花园区","4647","xiahuayuanqu"
"CN","宣化区","4648","xuanhuaqu"
"CN","涿鹿县","1620","zhuoluxian"
"CT","张家口市","1607","zhangjiakoushi"
"PV","河北省","1511","hebeisheng"
"CN","安阳市","1728","anyangshi"
"CN","北关区","4649","beiguanqu"
"CN","龙安区","4650","longanqu"
"CN","文峰区","4651","wenfengqu"
"CN","殷都区","4652","yindouqu"
"CN","安阳县","1730","anyangxian"
"CN","滑县","1731","huaxian"
"CN","林州市","1729","linzhoushi"
"CN","内黄县","1732","neihuangxian"
"CN","汤阴县","1733","tangyinxian"
"CT","安阳市","1727","anyangshi"
"CN","鹤壁市","1714","hebishi"
"CN","鹤山区","4653","heshanqu"
"CN","山城区","4655","shanchengqu"
"CN","淇滨区","4654","qibinqu"
"CN","浚县","1715","junxian"
"CN","淇县","1716","qixian"
"CT","鹤壁市","1713","hebishi"
"CN","博爱县","1712","boaixian"
"CN","济源市","1815","jiyuanshi"
"CN","焦作市","1706","jiaozuoshi"
"CN","解放区","4656","jiefangqu"
"CN","马村区","4657","macunqu"
"CN","山阳区","4658","shanyangqu"
"CN","中站区","4659","zhongzhanqu"
"CN","孟州市","1708","mengzhoushi"
"CN","沁阳市","1707","qinyangshi"
"CN","温县","1710","wenxian"
"CN","武陟县","1711","wuzhixian"
"CN","修武县","1709","xiuwuxian"
"CT","焦作市","1705","jiaozuoshi"
"CN","开封市","1680","kaifengshi"
"CN","鼓楼区","4660","gulouqu"
"CN","金明区","4661","jinmingqu"
"CN","顺河回族区","4663","shunhehuizuqu"
"CN","禹王台区","4664","yuwangtaiqu"
"CN","开封县","1681","kaifengxian"
"CN","通许县","1685","tongxuxian"
"CN","尉氏县","1682","weishixian"
"CN","杞县","1684","qixian"
"CT","开封市","1679","kaifengshi"
"CN","洛宁县","1692","luoningxian"
"CN","洛阳市","1687","luoyangshi"
"CN","涧西区","4667","jianxiqu"
"CN","老城区","4668","laochengqu"
"CN","洛龙区","4669","luolongqu"
"CN","廛河回族区","4665","chanhehuizuqu"
"CN","孟津县","1689","mengjinxian"
"CN","汝阳县","1690","ruyangxian"
"CN","新安县","1695","xinanxian"
"CN","伊川县","1691","yichuanxian"
"CN","偃师市","1688","yanshishi"
"CN","嵩县","1693","songxian"
"CN","栾川县","1696","luanchuanxian"
"CT","洛阳市","1686","luoyangshi"
"CN","邓州市","1762","dengzhoushi"
"CN","武乡县","2758","wuxiangxian"
"CN","襄垣县","2754","xiangyuanxian"
"CT","长治市","2748","czs"
"CN","大同市","2736","datongshi"
"CN","城区","4180","chengqu"
"CN","矿区","4181","kuangqu"
"CN","南郊区","4182","nanjiaoqu"
"CN","新荣区","4183","xinrongqu"
"CN","大同县","2737","datongxian"
"CN","广灵县","2742","guanglingxian"
"CN","浑源县","2743","hunyuanxian"
"CN","灵丘县","2739","lingqiuxian"
"CN","天镇县","2738","tianzhenxian"
"CN","阳高县","2740","yanggaoxian"
"CN","左云县","2741","zuoyunxian"
"CT","大同市","2735","datongshi"
"CN","高平市","2763","gaopingshi"
"CN","晋城市","2762","jinchengshi"
"CN","城区","4184","chengqu"
"CN","陵川县","2765","lingchuanxian"
"CN","沁水县","2767","qinshuixian"
"CN","阳城县","2766","yangchengxian"
"CN","泽州县","2764","zezhouxian"
"CT","晋城市","2761","jinchengshi"
"CN","和顺县","2783","heshunxian"
"CN","介休市","2776","jiexiushi"
"CN","晋中市","2775","jinzhongshi"
"CN","榆次区","4185","yuciqu"
"CN","灵石县","2778","lingshixian"
"CN","平遥县","2784","pingyaoxian"
"CN","祁县","2779","qixian"
"CN","寿阳县","2781","shouyangxian"
"CN","太谷县","2782","taiguxian"
"CN","昔阳县","2777","xiyangxian"
"CN","榆社县","2785","yushexian"
"CN","左权县","2780","zuoquanxian"
"CT","晋中市","2774","jinzhongshi"
"CN","安泽县","2807","anzexian"
"CN","大宁县","2808","daningxian"
"CN","汾西县","2805","fenxixian"
"CN","浮山县","2809","fushanxian"
"CN","古县","2810","guxian"
"CN","洪洞县","2817","hongdongxian"
"CN","侯马市","2803","houmashi"
"CN","霍州市","2804","huozhoushi"
"CN","吉县","2806","jixian"
"CN","临汾市","2802","linfenshi"
"CN","尧都区","4186","yaodouqu"
"CN","蒲县","2818","puxian"
"CN","曲沃县","2816","quwoxian"
"CN","襄汾县","2812","xiangfenxian"
"CN","翼城县","2813","yichengxian"
"CN","永和县","2814","yonghexian"
"CN","隰县","2811","xixian"
"CT","临汾市","2801","linfenshi"
"CN","方山县","2841","fangshanxian"
"CN","汾阳市","2836","fenyangshi"
"CN","交口县","2844","jiaokouxian"
"CN","临县","2840","linxian"
"CN","柳林县","2842","liulinxian"
"CN","吕梁市","3701","lvliangshi"
"CN","离石区","4385","lishiqu"
"CN","文水县","2837","wenshuixian"
"CN","孝义市","2835","xiaoyishi"
"CN","兴县","2839","xingxian"
"CN","中阳县","2838","zhongyangxian"
"CN","岚县","2843","lanxian"
"CT","吕梁市","2833","lvliangshi"
"CN","怀仁县","2773","huairenxian"
"CN","朔州市","2769","shuozhoushi"
"CN","钦南区","4960","qinnanqu"
"CN","钦北区","4961","qinbeiqu"
"CN","十堰市","1924","shiyanshi"
"CN","茅箭区","4767","maojianqu"
"CN","张湾区","4422","zhangwanqu"
"CN","郧西县","1929","yunxixian"
"CN","郧县","1926","yunxian"
"CN","竹山县","1927","zhushanxian"
"CN","竹溪县","1930","zhuxixian"
"CT","十堰市","1923","shiyanshi"
"CN","广水市","1984","guangshuishi"
"CN","随州市","1983","suizhoushi"
"CN","曾都区","4768","cengdouqu"
"CT","随州市","1982","suizhoushi"
"CN","天门市","1988","tianmenshi"
"CT","天门市","1987","tianmenshi"
"CN","武汉市","1910","wuhanshi"
"CN","蔡甸区","4769","caidianqu"
"CN","硚口区","4777","qiaokouqu"
"CN","东西湖区","4770","dongxihuqu"
"CN","汉南区","4771","hannanqu"
"CN","汉阳区","4772","hanyangqu"
"CN","黄陂区","4774","huangpoqu"
"CN","江岸区","4423","jianganqu"
"CN","江汉区","4775","jianghanqu"
"CN","江夏区","4776","jiangxiaqu"
"CN","新洲区","4780","xinzhouqu"
"CT","武汉市","1909","wuhanshi"
"CN","仙桃市","1986","xiantaoshi"
"CT","仙桃市","1985","xiantaoshi"
"CN","崇阳县","1980","chongyangxian"
"CN","嘉鱼县","1978","jiayuxian"
"CN","通城县","1981","tongchengxian"
"CN","通山县","1979","tongshanxian"
"CN","咸宁市","1976","xianningshi"
"CT","咸宁市","1975","xianningshi"
"CN","保康县","1922","baokangxian"
"CN","谷城县","1921","guchengxian"
"CN","老河口市","1917","laohekoushi"
"CN","南漳县","1920","nanzhangxian"
"CN","樊城区","4424","fanchengqu"
"CN","襄城区","4782","xiangchengqu"
"CN","襄州区","4783","xiangzhouqu"
"CT","襄阳市","1915","xiangyangshi"
"CN","安陆市","1959","anlushi"
"CN","大悟县","1962","dawuxian"
"CN","汉川市","1960","hanchuanshi"
"CN","孝昌县","1963","xiaochangxian"
"CN","孝南区","4784","xiaonanqu"
"CN","应城市","1958","yingchengshi"
"CN","云梦县","1961","yunmengxian"
"CT","孝感市","1956","xiaoganshi"
"CN","长阳土家族自治县","1948","changyangtujiazuzizhixian"
"CN","当阳市","1942","dangyangshi"
"CN","五峰土家族自治县","1947","wufengtujiazuzizhixian"
"CN","兴山县","1946","xingshanxian"
"CN","宜昌市","1940","yichangshi"
"CN","猇亭区","4788","yaotingqu"
"CN","点军区","4785","dianjunqu"
"CN","陆川县","1334","luchuanxian"
"CN","容县","1333","rongxian"
"CN","兴业县","1336","xingyexian"
"CN","玉林市","1331","yulinshi"
"CT","玉林市","1330","yulinshi"
"CN","安顺市","1409","anshunshi"
"CN","西秀区","4602","xixiuqu"
